step,time,kinetic,potential,total
461,0.92200000,36.47633974,0.00000000,36.47633974
462,0.92400000,36.63402858,0.00000000,36.63402858
463,0.92600000,36.79205437,0.00000000,36.79205437
464,0.92800000,36.95041708,0.00000000,36.95041708
465,0.93000000,37.10911671,0.00000000,37.10911671
466,0.93200000,37.26815322,0.00000000,37.26815322
467,0.93400000,37.42752660,0.00000000,37.42752660
468,0.93600000,37.58723683,0.00000000,37.58723683
469,0.93800000,37.74728389,0.00000000,37.74728389
470,0.94000000,37.90766775,0.00000000,37.90766775
471,0.94200000,38.06838840,0.00000000,38.06838840
472,0.94400000,38.22944581,0.00000000,38.22944581
473,0.94600000,38.39083997,0.00000000,38.39083997
474,0.94800000,38.55257086,0.00000000,38.55257086
475,0.95000000,38.71463845,0.00000000,38.71463845
476,0.95200000,38.87704273,0.00000000,38.87704273
477,0.95400000,39.03978367,0.00000000,39.03978367
478,0.95600000,39.20286125,0.00000000,39.20286125
479,0.95800000,39.36627546,0.00000000,39.36627546
480,0.96000000,39.53002627,0.00000000,39.53002627
481,0.96200000,39.69411367,0.00000000,39.69411367
482,0.96400000,39.85853763,0.00000000,39.85853763
483,0.96600000,40.02329813,0.00000000,40.02329813
484,0.96800000,40.18839515,0.00000000,40.18839515
485,0.97000000,40.35382868,0.00000000,40.35382868
486,0.97200000,40.51959868,0.00000000,40.51959868
487,0.97400000,40.68570515,0.00000000,40.68570515
488,0.97600000,40.85214806,0.00000000,40.85214806
489,0.97800000,41.01892739,0.00000000,41.01892739
490,0.98000000,41.18604312,0.00000000,41.18604312
491,0.98200000,41.35349523,0.00000000,41.35349523
492,0.98400000,41.52128370,0.00000000,41.52128370
493,0.98600000,41.68940851,0.00000000,41.68940851
494,0.98800000,41.85786963,0.00000000,41.85786963
495,0.99000000,42.02666706,0.00000000,42.02666706
496,0.99200000,42.19580076,0.00000000,42.19580076
497,0.99400000,42.36527073,0.00000000,42.36527073
498,0.99600000,42.53507693,0.00000000,42.53507693
499,0.99800000,42.70521935,0.00000000,42.70521935
500,1.00000000,42.87569796,0.00000000,42.87569796
501,1.00200000,43.04651275,0.00000000,43.04651275
502,1.00400000,43.21766370,0.00000000,43.21766370
503,1.00600000,43.38915079,0.00000000,43.38915079
504,1.00800000,43.56097399,0.00000000,43.56097399
505,1.01000000,43.73313328,0.00000000,43.73313328
506,1.01200000,43.90562866,0.00000000,43.90562866
507,1.01400000,44.07846008,0.00000000,44.07846008
508,1.01600000,44.25162754,0.00000000,44.25162754
509,1.01800000,44.42513102,0.00000000,44.42513102
510,1.02000000,44.59897049,0.00000000,44.59897049
511,1.02200000,44.77314593,0.00000000,44.77314593
512,1.02400000,44.94765733,0.00000000,44.94765733
513,1.02600000,45.12250466,0.00000000,45.12250466
514,1.02800000,45.29768791,0.00000000,45.29768791
515,1.03000000,45.47320704,0.00000000,45.47320704
516,1.03200000,45.64906205,0.00000000,45.64906205
517,1.03400000,45.82525291,0.00000000,45.82525291
518,1.03600000,46.00177960,0.00000000,46.00177960
519,1.03800000,46.17864211,0.00000000,46.17864211
520,1.04000000,46.35584040,0.00000000,46.35584040
521,1.04200000,46.53337447,0.00000000,46.53337447
522,1.04400000,46.71124429,0.00000000,46.71124429
523,1.04600000,46.88944983,0.00000000,46.88944983
524,1.04800000,47.06799109,0.00000000,47.06799109
525,1.05000000,47.24686804,0.00000000,47.24686804
526,1.05200000,47.42608065,0.00000000,47.42608065
527,1.05400000,47.60562892,0.00000000,47.60562892
528,1.05600000,47.78551281,0.00000000,47.78551281
529,1.05800000,47.96573232,0.00000000,47.96573232
530,1.06000000,48.14628741,0.00000000,48.14628741
531,1.06200000,48.32717807,0.00000000,48.32717807
532,1.06400000,48.50840428,0.00000000,48.50840428
533,1.06600000,48.68996601,0.00000000,48.68996601
534,1.06800000,48.87186325,0.00000000,48.87186325
