step,time,kinetic,potential,total
415,0.83000000,0.00031857,0.11620226,0.11652083
416,0.83200000,0.00027930,0.11620921,0.11648851
417,0.83400000,0.00051943,0.11668863,0.11720805
418,0.83600000,0.00103181,0.11763824,0.11867005
419,0.83800000,0.00180538,0.11905701,0.12086239
420,0.84000000,0.00282531,0.12094500,0.12377031
421,0.84200000,0.00407329,0.12330324,0.12737653
422,0.84400000,0.00552780,0.12613355,0.13166135
423,0.84600000,0.00716447,0.12943831,0.13660278
424,0.84800000,0.00895647,0.13322016,0.14217663
425,0.85000000,0.01087489,0.13748178,0.14835667
426,0.85200000,0.01288920,0.14222552,0.15511472
427,0.85400000,0.01496773,0.14745308,0.16242081
428,0.85600000,0.01707812,0.15316522,0.17024334
429,0.85800000,0.01918780,0.15936134,0.17854914
430,0.86000000,0.02126450,0.16603920,0.18730369
431,0.86200000,0.02327668,0.17319454,0.19647122
432,0.86400000,0.02519402,0.18082083,0.20601485
433,0.86600000,0.02698786,0.18890887,0.21589673
434,0.86800000,0.02863158,0.19744662,0.22607821
435,0.87000000,0.03010101,0.20641891,0.23651992
436,0.87200000,0.03137473,0.21580724,0.24718197
437,0.87400000,0.03243441,0.22558962,0.25802403
438,0.87600000,0.03326503,0.23574049,0.26900551
439,0.87800000,0.03385506,0.24623061,0.28008566
440,0.88000000,0.03419664,0.25702707,0.29122372
441,0.88200000,0.03428567,0.26809335,0.30237901
442,0.88400000,0.03412178,0.27938934,0.31351112
443,0.88600000,0.03370839,0.29087158,0.32457997
444,0.88800000,0.03305257,0.30249339,0.33554597
445,0.89000000,0.03216494,0.31420516,0.34637010
446,0.89200000,0.03105944,0.32595462,0.35701407
447,0.89400000,0.02975317,0.33768723,0.36744040
448,0.89600000,0.02826604,0.34934651,0.37761254
449,0.89800000,0.02662048,0.36087452,0.38749500
450,0.90000000,0.02484111,0.37221230,0.39705341
451,0.90200000,0.02295430,0.38330034,0.40625464
452,0.90400000,0.02098781,0.39407913,0.41506693
453,0.90600000,0.01897033,0.40448963,0.42345996
454,0.90800000,0.01693110,0.41447383,0.43140493
455,0.91000000,0.01489938,0.42397529,0.43887467
456,0.91200000,0.01290411,0.43293964,0.44584375
457,0.91400000,0.01097339,0.44131511,0.45228850
458,0.91600000,0.00913415,0.44905300,0.45818716
459,0.91800000,0.00741169,0.45610820,0.46351989
460,0.92000000,0.00582935,0.46243955,0.46826890
461,0.92200000,0.00440818,0.46801029,0.47241848
462,0.92400000,0.00316664,0.47278840,0.47595504
463,0.92600000,0.00212034,0.47674690,0.47886723
464,0.92800000,0.00128183,0.47986410,0.48114592
465,0.93000000,0.00066047,0.48212381,0.48278428
466,0.93200000,0.00026229,0.48351549,0.48377778
467,0.93400000,0.00008996,0.48403430,0.48412426
468,0.93600000,0.00014274,0.48368116,0.48382391
469,0.93800000,0.00041659,0.48246269,0.48287928
470,0.94000000,0.00090419,0.48039113,0.48129531
471,0.94200000,0.00159514,0.47748416,0.47907930
472,0.94400000,0.00247615,0.47376472,0.47624087
473,0.94600000,0.00353121,0.46926077,0.47279198
474,0.94800000,0.00474193,0.46400493,0.46874686
475,0.95000000,0.00608779,0.45803417,0.46412195
476,0.95200000,0.00754650,0.45138939,0.45893589
477,0.95400000,0.00909434,0.44411506,0.45320940
478,0.95600000,0.01070653,0.43625870,0.44696523
479,0.95800000,0.01235761,0.42787047,0.44022809
480,0.96000000,0.01402185,0.41900264,0.43302449
481,0.96200000,0.01567360,0.40970913,0.42538273
482,0.96400000,0.01728768,0.40004502,0.41733270
483,0.96600000,0.01883979,0.39006603,0.40890581
484,0.96800000,0.02030678,0.37982807,0.40013485
485,0.97000000,0.02166708,0.36938676,0.39105384
486,0.97200000,0.02290090,0.35879700,0.38169791
487,0.97400000,0.02399058,0.34811255,0.37210314
488,0.97600000,0.02492078,0.33738564,0.36230643
489,0.97800000,0.02567870,0.32666662,0.35234532
490,0.98000000,0.02625420,0.31600364,0.34225784
491,0.98200000,0.02663999,0.30544238,0.33208237
492,0.98400000,0.02683161,0.29502585,0.32185745
493,0.98600000,0.02682753,0.28479413,0.31162166
494,0.98800000,0.02662910,0.27478430,0.30141340
495,0.99000000,0.02624052,0.26503029,0.29127081
496,0.99200000,0.02566869,0.25556284,0.28123153
497,0.99400000,0.02492314,0.24640949,0.27133263
498,0.99600000,0.02401582,0.23759458,0.26161040
499,0.99800000,0.02296088,0.22913935,0.25210023
500,1.00000000,0.02177448,0.22106199,0.24283647
501,1.00200000,0.02047449,0.21337781,0.23385229
502,1.00400000,0.01908021,0.20609938,0.22517959
503,1.00600000,0.01761212,0.19923670,0.21684881
504,1.00800000,0.01609149,0.19279741,0.20888890
505,1.01000000,0.01454012,0.18678703,0.20132715
506,1.01200000,0.01298002,0.18120912,0.19418914
507,1.01400000,0.01143303,0.17606559,0.18749862
508,1.01600000,0.00992057,0.17135690,0.18127747
509,1.01800000,0.00846332,0.16708229,0.17554561
510,1.02000000,0.00708092,0.16324001,0.17032093
511,1.02200000,0.00579168,0.15982757,0.16561926
512,1.02400000,0.00461241,0.15684192,0.16145432
513,1.02600000,0.00355809,0.15427962,0.15783772
514,1.02800000,0.00264179,0.15213708,0.15477886
515,1.03000000,0.00187440,0.15041063,0.15228503
516,1.03200000,0.00126458,0.14909671,0.15036129
517,1.03400000,0.00081863,0.14819193,0.14901056
518,1.03600000,0.00054043,0.14769318,0.14823361
519,1.03800000,0.00043140,0.14759764,0.14802905
520,1.04000000,0.00049055,0.14790284,0.14839339
521,1.04200000,0.00071447,0.14860662,0.14932109
522,1.04400000,0.00109744,0.14970713,0.15080457
523,1.04600000,0.00163153,0.15120274,0.15283428
524,1.04800000,0.00230674,0.15309200,0.15539873
525,1.05000000,0.00311113,0.15537348,0.15848461
526,1.05200000,0.00403108,0.15804573,0.16207680
527,1.05400000,0.00505143,0.16110705,0.16615848
528,1.05600000,0.00615577,0.16455542,0.17071119
529,1.05800000,0.00732664,0.16838827,0.17571490
530,1.06000000,0.00854581,0.17260235,0.18114816
531,1.06200000,0.00979456,0.17719354,0.18698810
532,1.06400000,0.01105392,0.18215667,0.19321060
533,1.06600000,0.01230497,0.18748536,0.19979033
534,1.06800000,0.01352908,0.19317182,0.20670089
